y_test,result,model
39.4,30.70948718,RF
15.8,20.96564103,RF
13.3,17.23282051,RF
18.4,14.12333333,RF
12.2,16.35717949,RF
12.2,14.64,RF
15.8,20.32153846,RF
8.9,17.83435897,RF
20.7,17.01692308,RF
13.8,16.68820513,RF
7.3,9.953846154,RF
10.7,21.90589744,RF
19.7,11.99179487,RF
3.9,12.75435897,RF
7.3,9.288461538,RF
7.3,13.07589744,RF
13.3,19.63641026,RF
34.6,39.71512821,RF
16.1,15.92,RF
14.8,12.61461538,RF
3.5,16.44897436,RF
13.9,18.15487179,RF
15.8,17.82538462,RF
27.9,31.62076923,RF
12.2,13.56769231,RF
22.1,20.54435897,RF
11.7,13.18076923,RF
3.9,6.573076923,RF
18.7,19.18205128,RF
20.8,5.301025641,RF
21.6,25.72948718,RF
58.9,39.30051282,RF
19.6,14.56102564,RF
14.5,21.30692308,RF
6.6,10.9525641,RF
47.2,37.91769231,RF
13.9,24.67461538,RF
44.6,17.1925641,RF
13.1,16.52076923,RF
17.6,11.87230769,RF
21.4,17.27307692,RF
9.6,14.86358974,RF
23.6,17.16051282,RF
30.8,31.28076923,RF
19.1,16.40230769,RF
17.1,15.93410256,RF
23,16.40205128,RF
50,38.76282051,RF
21.3,16.65923077,RF
7.2,12.27948718,RF
8.9,8.517179487,RF
13.5,24.50128205,RF
17.3,19.56641026,RF
34,30.39384615,RF
16.6,17.77307692,RF
7.1,9.477692308,RF
20.9,27.30102564,RF
15.9,16.97641026,RF
25,15.12230769,RF
8.6,14.1225641,RF
4,14.88564103,RF
17.3,17.78641026,RF
20.9,13.85948718,RF
25.7,25.21769231,RF
59.2,13.72538462,RF
19.6,47.12641026,RF
53.1,18.60846154,RF
8.3,11.99153846,RF
10.5,12.31358974,RF
18.9,14.77512821,RF
9.2,22.89589744,RF
26.3,16.98820513,RF
15.3,15.65,RF
5.7,19.35282051,RF
16.1,16.63384615,RF
12.1,23.5425641,RF
15.9,16.18538462,RF
15.8,12.62,RF
20.2,13.09564103,RF
12.9,11.35230769,RF
20.8,26.7074359,RF
19.5,15.7474359,RF
25.6,31.32589744,RF
16.4,18.04846154,RF
10.5,7.892307692,RF
15.1,16.87512821,RF
26.1,27.58948718,RF
10,13.82410256,RF
8.4,13.08820513,RF
53.8,26.28769231,RF
7.6,10.75205128,RF
11.4,18.28333333,RF
4.5,28.86384615,RF
4.1,8.022820513,RF
12.3,12.9625641,RF
6.6,9.790769231,RF
18,15.9474359,RF
14.8,22.21897436,RF
26,17.71974359,RF
22.8,20.11128205,RF
8.7,14.07538462,RF
29.7,22.07102564,RF
8.4,12.73282051,RF
24.6,20.90641026,RF
3.9,5.588974359,RF
38.4,30.79051282,RF
18.6,16.38589744,RF
17.7,18.95128205,RF
11.1,13.19128205,RF
14.7,18.57538462,RF
26.8,25.74128205,RF
9.8,12.48076923,RF
12.2,19.44948718,RF
11.2,11.52153846,RF
23.2,13.2074359,RF
11.4,18.00307692,RF
16.8,12.48051282,RF
7.3,13.67615385,RF
26.7,37.66205128,RF
8,12.52923077,RF
2.1,7.888205128,RF
10.3,14.92307692,RF
5.3,7.564102564,RF
33,16.83179487,RF
30.5,41.31923077,RF
10.9,13.93179487,RF
12,16.91717949,RF
17.7,17.92076923,RF
23,16.98076923,RF
60.8,34.9925641,RF
11,15.02,RF
9.3,8.425128205,RF
19.8,16.96692308,RF
39.9,28.34846154,RF
14.9,14.73358974,RF
10.8,25.28897436,RF
14.3,22.41641026,RF
17.8,23.09461538,RF
60.9,37.20564103,RF
10.5,20.00384615,RF
18.7,11.44179487,RF
13.6,15.53333333,RF
14.7,11.96794872,RF
52.7,29.65051282,RF
11.9,17.44076923,RF
28.3,22.48923077,RF
7.1,13.22307692,RF
23.6,26.87871795,RF
3.7,6.834358974,RF
28.6,30.98769231,RF
4.8,10.83333333,RF
17.4,22.50282051,RF
7.5,9.165128205,RF
29.3,32.14948718,RF
6,22.98538462,RF
7.5,10.84025641,RF
11.2,18.22487179,RF
11.1,17.37846154,RF
23,18.0725641,RF
15.2,30.05461538,RF
11.7,13.71846154,RF
11.9,13.27589744,RF
14.1,14.26769231,RF
7.6,13.64871795,RF
23.8,14.65692308,RF
14.2,14.02,RF
55.6,32.02076923,RF
18.2,11.46641026,RF
11.5,16.18692308,RF
9.9,7.255128205,RF
32.1,20.46974359,RF
31.2,16.50358974,RF
15.8,11.34538462,RF
10.9,9.331282051,RF
22.9,25.84282051,RF
15.4,17.81948718,RF
6.4,6.632820513,RF
11.9,6.684102564,RF
21.8,17.52230769,RF
11.9,20.03794872,RF
16.3,15.30897436,RF
25.4,25.93461538,RF
13.8,20.37897436,RF
19.1,22.55564103,RF
9.8,25.04871795,RF
17.2,15.98410256,RF
6.2,12.38564103,RF
8.3,11.00666667,RF
24.6,23.62871795,RF
20.1,17.01564103,RF
16.4,20.03897436,RF
24.7,25.98153846,RF
8.8,10.85025641,RF
12,13.72076923,RF
8.2,7.763589744,RF
11.7,10.89487179,RF
5.5,10.94435897,RF
10.7,10.73692308,RF
12.3,17.73153846,RF
15.9,20.95538462,RF
42,32.32589744,RF
39.7,32.50923077,RF
10.8,18.65153846,RF
8.8,10.37333333,RF
14.2,17.91076923,RF
21.3,28.47410256,RF
17.1,16.58948718,RF
29.3,36.56564103,RF
27.6,31.47512821,RF
23.6,23.66820513,RF
16.3,13.32230769,RF
18.8,22.52025641,RF
11,14.22487179,RF
26.6,30.37487179,RF
7.1,9.286923077,RF
6.3,14.70461538,RF
14.3,16.32076923,RF
